case_id,depth_file,velocity_file,h_peak_ext,h_peak_int,dur_h010cm_min,dur_h020cm_min,dur_h030cm_min,dur_h040cm_min,dur_h050cm_min,dur_h060cm_min,dur_h070cm_min,dur_h080cm_min,dur_h090cm_min,dur_h100cm_min,dur_h110cm_min,dur_h120cm_min,dur_h130cm_min,dur_h140cm_min,dur_h150cm_min
28,depth_028.csv,velocity_028.csv,0.6625,0.6668,226.0,177.0,143.0,114.0,88.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,depth_029.csv,velocity_029.csv,0.319,0.3207,8246.0,4361.0,1288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,depth_030.csv,velocity_030.csv,0.402,0.4044,218.0,151.0,98.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,depth_031.csv,velocity_031.csv,0.3178,0.3188,206.0,130.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,depth_032.csv,velocity_032.csv,2.0059,2.1794,955.0,778.0,672.0,595.0,536.0,487.0,443.0,405.0,371.0,339.0,310.0,284.0,259.0,235.0,211.0
33,depth_033.csv,velocity_033.csv,0.495,0.5294,807.0,539.0,369.0,232.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,depth_034.csv,velocity_034.csv,0.226,0.2422,1414.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,depth_035.csv,velocity_035.csv,0.9251,0.9982,436.0,347.0,291.0,246.0,210.0,177.0,146.0,114.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
36,depth_036.csv,velocity_036.csv,0.2,0.2014,1219.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,depth_037.csv,velocity_037.csv,0.5846,0.595,3686.0,2545.0,1822.0,1254.0,741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,depth_038.csv,velocity_038.csv,0.115,0.1222,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,depth_039.csv,velocity_039.csv,0.185,0.1875,2109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
