replicate_id,u_membrane:1,h_star_1_membrane:1,peak_h_in_m,peak_h_basement_m,peak_h_sump_m,peak_h_ext_m,total_volume_in_m3
216,0.13105775155731325,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
217,0.12375380365034461,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
218,0.9275625510065076,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
219,0.39757819382494064,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
220,0.30094869178093975,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
221,0.4885840453515333,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
222,0.6628642127635824,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
223,0.9556232570469699,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
224,0.286446226882055,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
225,0.9248084293120271,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
226,0.024859491386256316,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
227,0.5551980423268247,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
228,0.6339751116810851,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
229,0.1058974037507533,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
230,0.14033959706391264,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
231,0.41911431931630383,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
232,0.9662319121431817,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
233,0.5960425532343728,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
234,0.9330232216002112,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
235,0.8043609156129707,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
236,0.4673816015552915,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
237,0.7847634492521874,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
