time,F_hydro_N,F_drag_N,F_total_N,M_overturn_Nm,H_net_m,H_wet_m,v_m_per_s,lever_hydro_m,lever_drag_m
8700.0,0.0,8163.112500000002,8163.112500000002,2734.6426875000006,0.0,0.67,1.425,0.0,0.335
8760.0,0.0,8318.653199999999,8318.653199999999,2820.0234348,0.0,0.678,1.43,0.0,0.339
8820.0,0.0,8475.770100000002,8475.770100000002,2907.189144300001,0.0,0.686,1.435,0.0,0.343
8880.0,0.0,8634.470399999998,8634.470399999998,2996.161228799999,0.0,0.694,1.44,0.0,0.347
8940.0,0.0,8794.761299999998,8794.761299999998,3086.9612162999993,0.0,0.702,1.4449999999999998,0.0,0.351
9000.0,0.0,8956.65,8956.65,3179.61075,0.0,0.71,1.45,0.0,0.355
9060.0,0.0,9120.143700000002,9120.143700000002,3274.1315883000007,0.0,0.718,1.455,0.0,0.359
9120.0,0.0,9285.2496,9285.2496,3370.5456047999996,0.0,0.726,1.46,0.0,0.363
9180.0,0.0,9451.974899999997,9451.974899999997,3468.874788299999,0.0,0.734,1.4649999999999999,0.0,0.367
9240.0,0.0,9620.326799999999,9620.326799999999,3569.1412427999994,0.0,0.742,1.47,0.0,0.371
9300.0,0.0,9790.3125,9790.3125,3671.3671875,0.0,0.75,1.475,0.0,0.375
9360.0,0.0,9935.6544,9935.6544,3755.6773632,0.0,0.756,1.48,0.0,0.378
9420.0,0.0,10082.288699999997,10082.288699999997,3841.351994699999,0.0,0.762,1.4849999999999999,0.0,0.381
9480.0,0.0,10230.220800000001,10230.220800000001,3928.4047872000006,0.0,0.768,1.49,0.0,0.384
9540.0,0.0,10379.4561,10379.4561,4016.8495107,0.0,0.774,1.4949999999999999,0.0,0.387
9600.0,0.0,10530.0,10530.0,4106.7,0.0,0.78,1.5,0.0,0.39
9660.0,0.0,10627.497299999999,10627.497299999999,4155.3514442999995,0.0,0.782,1.505,0.0,0.391
9720.0,0.0,10725.590400000001,10725.590400000001,4204.4314368000005,0.0,0.784,1.51,0.0,0.392
9780.0,0.0,10824.2811,10824.2811,4253.9424723,0.0,0.786,1.515,0.0,0.393
9840.0,0.0,10923.5712,10923.5712,4303.887052800001,0.0,0.788,1.52,0.0,0.394
